"행정구역","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"전라남도 고흥군 남양면(4677039000)","1,062","1,062","30","52","62","47","89","193","306","188","90","5","0","1,188","1,188","16","46","40","50","61","144","280","280","217","54","0"
"전라남도 고흥군 동강면(4677040000)","1,498","1,498","50","61","111","90","154","268","352","268","116","28","0","1,543","1,543","40","48","79","65","89","187","351","305","314","61","4"
"전라남도 고흥군 대서면(4677041000)","1,078","1,078","35","39","70","51","92","187","299","186","107","12","0","1,122","1,122","23","27","32","34","37","145","255","232","297","40","0"
"전라남도 고흥군 두원면(4677042000)","1,404","1,404","35","53","67","46","122","254","320","304","181","21","1","1,544","1,544","22","45","42","30","79","163","306","396","382","77","2"
"전라남도 고흥군 영남면(4677044000)","590","590","16","21","25","35","57","113","141","123","51","8","0","644","644","15","14","17","17","25","81","143","167","138","26","1"
"전라남도 고흥군 동일면(4677045000)","724","724","14","33","37","46","76","137","194","129","51","7","0","702","702","13","20","18","23","44","93","162","153","155","21","0"
"전라남도 보성군 (4678000000)","19,057","19,057","761","1,240","1,500","1,179","2,169","3,618","4,030","2,789","1,593","174","4","19,974","19,974","704","1,185","1,109","1,027","1,647","2,837","3,799","3,575","3,392","675","24"
"전라남도 보성군 보성읍(4678025000)","4,295","4,295","305","390","447","391","570","801","691","441","236","23","0","4,495","4,495","276","419","388","358","569","703","717","546","426","90","3"
"전라남도 보성군 벌교읍(4678025300)","5,532","5,532","224","404","427","323","662","1,027","1,129","870","423","40","3","5,806","5,806","207","371","311","302","488","801","1,163","1,097","871","185","10"
"전라남도 보성군 노동면(4678031000)","519","519","10","24","30","22","58","102","130","89","47","7","0","563","563","11","19","25","16","28","63","102","101","166","30","2"
"전라남도 보성군 미력면(4678032000)","697","697","14","33","48","40","62","155","177","96","69","3","0","708","708","16","22","36","31","40","90","136","147","156","33","1"
"전라남도 보성군 겸백면(4678033000)","543","543","10","22","32","16","57","106","129","95","62","14","0","580","580","12","18","23","22","38","75","94","118","158","21","1"
"전라남도 보성군 율어면(4678034000)","583","583","20","36","35","30","69","115","119","84","69","6","0","593","593","10","34","20","18","38","70","102","122","155","23","1"
"전라남도 보성군 복내면(4678035000)","763","763","16","34","49","31","65","150","209","124","76","9","0","846","846","31","28","42","30","40","113","154","166","205","37","0"
"전라남도 보성군 문덕면(4678036000)","466","466","6","22","33","19","51","97","116","73","45","4","0","449","449","9","30","23","9","28","60","91","77","104","17","1"
"전라남도 보성군 조성면(4678037000)","1,733","1,733","57","81","128","87","195","322","373","296","174","19","1","1,880","1,880","40","76","72","79","112","251","403","399","374","72","2"
"전라남도 보성군 득량면(4678038000)","1,337","1,337","25","72","71","67","137","269","326","211","142","17","0","1,378","1,378","31","57","45","53","92","170","293","276","293","66","2"
